iter	Passed	Remaining
0	13	13465
1	22	10980
2	31	10438
3	38	9589
4	46	9204
5	52	8621
6	64	9183
7	74	9280
8	81	9025
9	95	9413
10	103	9326
11	115	9539
12	126	9613
13	135	9510
14	147	9672
15	153	9455
16	160	9287
17	166	9096
18	174	9030
19	180	8861
20	188	8798
21	194	8655
22	200	8531
23	210	8574
24	217	8472
25	225	8439
26	231	8343
27	240	8333
28	246	8237
29	254	8232
30	260	8144
31	268	8129
32	274	8051
33	287	8164
34	295	8152
35	309	8293
36	319	8313
37	327	8291
38	337	8314
39	344	8276
40	354	8280
41	368	8413
42	376	8380
43	386	8392
44	393	8351
45	403	8371
46	410	8330
47	423	8397
48	434	8427
49	441	8386
50	451	8399
51	458	8357
52	472	8443
53	484	8492
54	493	8483
55	503	8494
56	529	8767
57	548	8902
58	561	8956
59	656	10277
60	777	11971
61	899	13601
62	953	14183
63	1117	16345
64	1149	16529
65	1198	16959
66	1225	17066
67	1240	17003
68	1251	16885
69	1268	16848
70	1282	16786
71	1294	16684
72	1305	16581
73	1319	16513
74	1329	16393
75	1339	16288
76	1359	16302
77	1377	16282
78	1392	16230
79	1405	16166
80	1416	16070
81	1428	15992
82	1440	15910
83	1455	15869
84	1469	15817
85	1481	15748
86	1493	15669
87	1511	15664
88	1523	15589
89	1536	15540
90	1550	15486
91	1560	15403
92	1576	15376
93	1587	15303
94	1601	15253
95	1609	15155
96	1623	15110
97	1636	15059
98	1648	15002
99	1657	14921
100	1688	15025
101	1700	14971
102	1712	14911
103	1723	14851
104	1735	14795
105	1746	14726
106	1767	14749
107	1793	14809
108	1806	14762
109	1821	14737
110	1834	14692
111	1848	14657
112	1856	14571
113	1866	14508
114	1884	14498
115	1897	14457
116	1906	14385
117	1917	14333
118	1928	14279
119	1938	14212
120	1956	14211
121	1970	14182
122	1982	14137
123	1992	14078
124	2002	14016
125	2013	13965
126	2023	13912
127	2032	13846
128	2042	13788
129	2051	13728
130	2062	13681
131	2070	13613
132	2087	13606
133	2104	13598
134	2115	13557
135	2129	13527
136	2141	13491
137	2150	13429
138	2159	13377
139	2169	13326
140	2178	13268
141	2186	13209
142	2196	13163
143	2207	13120
144	2216	13070
145	2230	13048
146	2241	13007
147	2253	12973
148	2262	12922
149	2271	12873
150	2275	12794
151	2285	12750
152	2294	12702
153	2304	12657
154	2311	12599
155	2322	12565
156	2332	12525
157	2341	12475
158	2351	12437
159	2358	12384
160	2370	12351
161	2377	12298
162	2389	12267
163	2400	12236
164	2410	12200
165	2420	12161
166	2437	12160
167	2451	12140
168	2464	12118
169	2473	12077
170	2484	12044
171	2493	12001
172	2506	11980
173	2518	11953
174	2528	11920
175	2538	11883
176	2551	11863
177	2560	11825
178	2577	11823
179	2588	11792
180	2655	12016
181	2705	12158
182	2730	12189
183	2762	12251
184	2803	12349
185	2828	12378
186	2860	12437
187	2882	12448
188	2913	12502
189	2943	12550
190	2970	12582
191	2982	12550
192	2992	12513
193	3004	12481
194	3017	12455
195	3027	12420
196	3035	12374
197	3045	12334
198	3052	12287
199	3063	12252
200	3071	12210
201	3085	12190
202	3096	12156
203	3104	12112
204	3110	12064
205	3122	12033
206	3130	11991
207	3140	11957
208	3147	11910
209	3157	11877
210	3163	11828
211	3173	11795
212	3181	11753
213	3189	11714
214	3197	11674
215	3205	11634
216	3213	11595
217	3224	11567
218	3234	11534
219	3240	11489
220	3246	11444
221	3253	11403
222	3260	11359
223	3268	11323
224	3275	11281
225	3283	11244
226	3289	11201
227	3295	11158
228	3303	11121
229	3308	11075
230	3316	11040
231	3327	11014
232	3351	11032
233	3371	11038
234	3400	11068
235	3421	11075
236	3458	11134
237	3471	11115
238	3485	11097
239	3494	11066
240	3508	11049
241	3520	11027
242	3535	11015
243	3547	10990
244	3554	10952
245	3563	10922
246	3570	10884
247	3579	10855
248	3586	10816
249	3601	10805
250	3613	10784
251	3620	10747
252	3638	10742
253	3650	10721
254	3661	10696
255	3668	10661
256	3679	10637
257	3688	10607
258	3697	10578
259	3711	10563
260	3721	10537
261	3732	10514
262	3741	10485
263	3761	10485
264	3768	10451
265	3781	10434
266	3794	10416
267	3801	10383
268	3812	10360
269	3825	10342
270	3834	10314
271	3847	10298
272	3858	10275
273	3865	10243
274	3875	10218
275	3882	10184
276	3890	10153
277	3896	10119
278	3903	10086
279	3909	10053
280	3916	10020
281	3923	9990
282	3930	9958
283	3938	9929
284	3946	9900
285	3954	9873
286	3961	9841
287	3968	9811
288	3975	9780
289	3981	9747
290	3989	9720
291	3995	9688
292	4009	9675
293	4025	9665
294	4035	9645
295	4044	9620
296	4058	9606
297	4069	9585
298	4077	9559
299	4088	9539
300	4096	9513
301	4103	9484
302	4109	9452
303	4117	9426
